# Synthetic (no-IRF) TCSPC decays at each unfolded fraction step
# Gaussian (folded): R_mean=35.0 Å, sigma=4.0 Å
# WLC (unfolded):    Lc=80.0 Å, Lp=60.0 Å
# tau_D0=4.00 ns, R0=52.0 Å
# Time axis: 256 channels over 25.0 ns
# Columns: time_ns  decay(f=0.00)  decay(f=0.05) ...
time_ns	decay(f=0.00)	decay(f=0.05)	decay(f=0.10)	decay(f=0.15)	decay(f=0.20)	decay(f=0.25)	decay(f=0.30)	decay(f=0.35)	decay(f=0.40)	decay(f=0.45)	decay(f=0.50)	decay(f=0.55)	decay(f=0.60)	decay(f=0.65)	decay(f=0.70)	decay(f=0.75)	decay(f=0.80)	decay(f=0.85)	decay(f=0.90)	decay(f=0.95)	decay(f=1.00)
5.78431373	0.00004354	0.00067570	0.00115631	0.00153404	0.00183872	0.00208968	0.00229997	0.00247874	0.00263259	0.00276637	0.00288379	0.00298766	0.00308021	0.00316319	0.00323801	0.00330582	0.00336756	0.00342401	0.00347582	0.00352354	0.00356764
5.88235294	0.00003957	0.00064960	0.00111339	0.00147789	0.00177191	0.00201408	0.00221701	0.00238952	0.00253798	0.00266708	0.00278039	0.00288063	0.00296994	0.00305001	0.00312221	0.00318765	0.00324722	0.00330170	0.00335169	0.00339775	0.00344030
5.98039216	0.00003599	0.00062468	0.00107224	0.00142400	0.00170773	0.00194143	0.00213726	0.00230374	0.00244700	0.00257159	0.00268093	0.00277766	0.00286385	0.00294112	0.00301079	0.00307394	0.00313143	0.00318400	0.00323225	0.00327669	0.00331776
6.07843137	0.00003275	0.00060087	0.00103279	0.00137224	0.00164606	0.00187159	0.00206058	0.00222124	0.00235949	0.00247973	0.00258525	0.00267860	0.00276177	0.00283634	0.00290358	0.00296452	0.00302000	0.00307073	0.00311730	0.00316018	0.00319982
6.17647059	0.00002982	0.00057810	0.00099493	0.00132254	0.00158679	0.00180445	0.00198683	0.00214188	0.00227531	0.00239135	0.00249318	0.00258327	0.00266354	0.00273551	0.00280040	0.00285921	0.00291276	0.00296171	0.00300665	0.00304804	0.00308629
6.27450980	0.00002717	0.00055632	0.00095861	0.00127478	0.00152981	0.00173988	0.00191590	0.00206554	0.00219432	0.00230630	0.00240458	0.00249153	0.00256900	0.00263845	0.00270108	0.00275784	0.00280952	0.00285677	0.00290014	0.00294009	0.00297700
6.37254902	0.00002476	0.00053547	0.00092374	0.00122889	0.00147504	0.00167778	0.00184767	0.00199209	0.00211637	0.00222446	0.00231931	0.00240323	0.00247800	0.00254503	0.00260548	0.00266026	0.00271014	0.00275574	0.00279760	0.00283615	0.00287178
6.47058824	0.00002259	0.00051551	0.00089026	0.00118478	0.00142236	0.00161804	0.00178201	0.00192141	0.00204136	0.00214568	0.00223723	0.00231823	0.00239039	0.00245509	0.00251343	0.00256631	0.00261445	0.00265846	0.00269886	0.00273607	0.00277046
6.56862745	0.00002061	0.00049638	0.00085810	0.00114238	0.00137169	0.00156056	0.00171883	0.00185338	0.00196916	0.00206985	0.00215822	0.00223639	0.00230605	0.00236850	0.00242481	0.00247584	0.00252231	0.00256479	0.00260379	0.00263970	0.00267289
6.66666667	0.00001882	0.00047806	0.00082720	0.00110160	0.00132294	0.00150525	0.00165802	0.00178789	0.00189965	0.00199684	0.00208214	0.00215760	0.00222483	0.00228511	0.00233947	0.00238873	0.00243358	0.00247459	0.00251222	0.00254689	0.00257893
6.76470588	0.00001719	0.00046049	0.00079751	0.00106239	0.00127604	0.00145202	0.00159949	0.00172485	0.00183273	0.00192655	0.00200888	0.00208172	0.00214662	0.00220481	0.00225727	0.00230483	0.00234812	0.00238770	0.00242404	0.00245750	0.00248842
6.86274510	0.00001571	0.00044364	0.00076897	0.00102466	0.00123091	0.00140078	0.00154314	0.00166415	0.00176829	0.00185885	0.00193833	0.00200865	0.00207129	0.00212746	0.00217811	0.00222401	0.00226580	0.00230402	0.00233909	0.00237139	0.00240124
6.96078431	0.00001437	0.00042747	0.00074153	0.00098836	0.00118746	0.00135146	0.00148888	0.00160570	0.00170623	0.00179366	0.00187038	0.00193826	0.00199874	0.00205296	0.00210185	0.00214617	0.00218651	0.00222340	0.00225726	0.00228844	0.00231726
7.05882353	0.00001314	0.00041195	0.00071514	0.00095343	0.00114564	0.00130396	0.00143663	0.00154941	0.00164646	0.00173086	0.00180493	0.00187046	0.00192884	0.00198119	0.00202839	0.00207117	0.00211012	0.00214573	0.00217842	0.00220852	0.00223634
7.15686275	0.00001203	0.00039705	0.00068976	0.00091982	0.00110538	0.00125823	0.00138631	0.00149519	0.00158888	0.00167037	0.00174188	0.00180514	0.00186151	0.00191205	0.00195762	0.00199891	0.00203652	0.00207090	0.00210245	0.00213152	0.00215838
7.25490196	0.00001102	0.00038274	0.00066535	0.00088746	0.00106661	0.00121418	0.00133784	0.00144296	0.00153342	0.00161209	0.00168113	0.00174221	0.00179663	0.00184542	0.00188942	0.00192929	0.00196560	0.00199879	0.00202926	0.00205732	0.00208325
7.35294118	0.00001009	0.00036899	0.00064185	0.00085630	0.00102928	0.00117176	0.00129115	0.00139264	0.00147998	0.00155594	0.00162260	0.00168157	0.00173412	0.00178122	0.00182370	0.00186220	0.00189725	0.00192930	0.00195872	0.00198581	0.00201085
7.45098039	0.00000925	0.00035579	0.00061924	0.00082630	0.00099332	0.00113089	0.00124617	0.00134416	0.00142850	0.00150183	0.00156620	0.00162314	0.00167387	0.00171936	0.00176037	0.00179754	0.00183139	0.00186233	0.00189073	0.00191689	0.00194107
7.54901961	0.00000848	0.00034309	0.00059748	0.00079741	0.00095868	0.00109152	0.00120283	0.00129745	0.00137888	0.00144969	0.00151184	0.00156682	0.00161581	0.00165973	0.00169933	0.00173522	0.00176790	0.00179778	0.00182521	0.00185047	0.00187381
7.64705882	0.00000778	0.00033089	0.00057653	0.00076959	0.00092531	0.00105358	0.00116106	0.00125243	0.00133106	0.00139944	0.00145945	0.00151255	0.00155985	0.00160226	0.00164050	0.00167516	0.00170671	0.00173556	0.00176205	0.00178644	0.00180898
7.74509804	0.00000714	0.00031915	0.00055636	0.00074279	0.00089316	0.00101702	0.00112081	0.00120905	0.00128498	0.00135101	0.00140896	0.00146023	0.00150590	0.00154686	0.00158379	0.00161725	0.00164773	0.00167559	0.00170116	0.00172471	0.00174648
7.84313725	0.00000656	0.00030786	0.00053693	0.00071696	0.00086218	0.00098179	0.00108202	0.00116723	0.00124056	0.00130432	0.00136028	0.00140979	0.00145390	0.00149345	0.00152911	0.00156143	0.00159086	0.00161776	0.00164246	0.00166520	0.00168622
7.94117647	0.00000602	0.00029700	0.00051822	0.00069208	0.00083233	0.00094784	0.00104464	0.00112692	0.00119773	0.00125931	0.00131336	0.00136117	0.00140377	0.00144196	0.00147640	0.00150762	0.00153603	0.00156202	0.00158586	0.00160783	0.00162813
8.03921569	0.00000553	0.00028655	0.00050020	0.00066811	0.00080355	0.00091511	0.00100859	0.00108806	0.00115645	0.00121592	0.00126812	0.00131429	0.00135543	0.00139232	0.00142558	0.00145572	0.00148317	0.00150826	0.00153130	0.00155251	0.00157211
8.13725490	0.00000509	0.00027650	0.00048284	0.00064501	0.00077582	0.00088356	0.00097385	0.00105060	0.00111665	0.00117409	0.00122450	0.00126909	0.00130883	0.00134445	0.00137658	0.00140569	0.00143219	0.00145643	0.00147867	0.00149916	0.00151810
8.23529412	0.00000468	0.00026682	0.00046611	0.00062274	0.00074908	0.00085314	0.00094035	0.00101448	0.00107827	0.00113375	0.00118244	0.00122551	0.00126388	0.00129829	0.00132932	0.00135744	0.00138304	0.00140645	0.00142793	0.00144772	0.00146601
8.33333333	0.00000430	0.00025750	0.00044999	0.00060128	0.00072331	0.00082382	0.00090804	0.00097965	0.00104126	0.00109485	0.00114187	0.00118348	0.00122054	0.00125378	0.00128374	0.00131090	0.00133563	0.00135824	0.00137899	0.00139811	0.00141577
8.43137255	0.00000396	0.00024852	0.00043446	0.00058058	0.00069845	0.00079554	0.00087690	0.00094606	0.00100557	0.00105733	0.00110275	0.00114294	0.00117874	0.00121085	0.00123979	0.00126602	0.00128991	0.00131175	0.00133179	0.00135025	0.00136731
8.52941176	0.00000365	0.00023988	0.00041948	0.00056064	0.00067449	0.00076827	0.00084686	0.00091366	0.00097115	0.00102115	0.00106503	0.00110384	0.00113843	0.00116944	0.00119740	0.00122274	0.00124581	0.00126690	0.00128626	0.00130410	0.00132058
8.62745098	0.00000336	0.00023156	0.00040505	0.00054140	0.00065139	0.00074198	0.00081789	0.00088242	0.00093796	0.00098625	0.00102864	0.00106613	0.00109954	0.00112949	0.00115650	0.00118098	0.00120327	0.00122365	0.00124235	0.00125958	0.00127549
8.72549020	0.00000309	0.00022354	0.00039114	0.00052285	0.00062910	0.00071662	0.00078995	0.00085229	0.00090594	0.00095259	0.00099353	0.00102976	0.00106203	0.00109096	0.00111706	0.00114070	0.00116223	0.00118192	0.00119998	0.00121663	0.00123200
8.82352941	0.00000285	0.00021581	0.00037772	0.00050497	0.00060761	0.00069215	0.00076300	0.00082322	0.00087505	0.00092012	0.00095967	0.00099466	0.00102584	0.00105380	0.00107900	0.00110184	0.00112264	0.00114166	0.00115911	0.00117519	0.00119005
8.92156863	0.00000263	0.00020837	0.00036479	0.00048772	0.00058688	0.00066856	0.00073700	0.00079518	0.00084525	0.00088879	0.00092700	0.00096081	0.00099093	0.00101794	0.00104229	0.00106436	0.00108445	0.00110282	0.00111968	0.00113521	0.00114957
9.01960784	0.00000242	0.00020120	0.00035232	0.00047108	0.00056688	0.00064579	0.00071192	0.00076813	0.00081650	0.00085857	0.00089549	0.00092815	0.00095725	0.00098334	0.00100686	0.00102818	0.00104760	0.00106535	0.00108164	0.00109664	0.00111051
9.11764706	0.00000224	0.00019428	0.00034029	0.00045504	0.00054760	0.00062383	0.00068772	0.00074203	0.00078876	0.00082941	0.00086508	0.00089663	0.00092475	0.00094995	0.00097268	0.00099328	0.00101204	0.00102919	0.00104493	0.00105943	0.00107282
