# Lifetime spectra at each unfolded fraction
# Gaussian R_mean=35.0 Å, sigma=4.0 Å; WLC Lc=80.0 Å, Lp=60.0 Å
# fraction_unfolded	amplitude	lifetime_ns
0.05000000	0.00318153	3.27103882
0.05000000	0.00131699	3.43680211
0.05000000	0.00008007	3.56982850
0.05000000	0.00000000	3.67441095
0.05000000	0.00000000	3.75531030
0.05000000	0.00000000	3.81710905
0.05000000	0.00000000	3.86386573
0.05000000	0.00000000	3.89898525
0.05000000	0.00000000	3.92522008
0.05000000	0.00000000	3.94473795
0.05000000	0.00000000	3.95921452
0.05000000	0.00000000	3.96992768
0.05000000	0.00000000	3.97784255
0.05000000	0.00000000	3.98368284
0.05000000	0.00000000	4.00000000
0.10000000	0.00000000	0.00000000
0.10000000	0.00000000	0.00000000
0.10000000	0.00000000	0.00000000
0.10000000	0.00000000	0.00000000
0.10000000	0.00000000	0.00000000
0.10000000	0.00000000	0.00000000
0.10000000	0.00000000	0.00000000
0.10000000	0.00000000	0.00000000
0.10000000	0.00000000	0.00000000
0.10000000	0.00000000	0.00000000
0.10000000	0.00000000	0.00000000
0.10000000	0.00000000	0.00000001
0.10000000	0.00000000	0.00000001
0.10000000	0.00000000	0.00000001
0.10000000	0.00000000	0.00000001
0.10000000	0.00000000	0.00000002
0.10000000	0.00000000	0.00000003
0.10000000	0.00000000	0.00000004
0.10000000	0.00000000	0.00000005
0.10000000	0.00000000	0.00000007
0.10000000	0.00000000	0.00000009
0.10000000	0.00000000	0.00000013
0.10000000	0.00000000	0.00000018
0.10000000	0.00000000	0.00000024
0.10000000	0.00000000	0.00000032
0.10000000	0.00000000	0.00000044
0.10000000	0.00000000	0.00000060
0.10000000	0.00000000	0.00000081
0.10000000	0.00000000	0.00000111
0.10000000	0.00000000	0.00000151
0.10000000	0.00000000	0.00000205
0.10000000	0.00000000	0.00000279
0.10000000	0.00000000	0.00000379
0.10000000	0.00000000	0.00000515
0.10000000	0.00000000	0.00000701
0.10000000	0.00000000	0.00000953
0.10000000	0.00000000	0.00001296
0.10000000	0.00000000	0.00001762
0.10000000	0.00000000	0.00002396
0.10000000	0.00000000	0.00003258
0.10000000	0.00000000	0.00004431
0.10000000	0.00000000	0.00006026
0.10000000	0.00000000	0.00008195
0.10000000	0.00000000	0.00011144
0.10000000	0.00000000	0.00015155
0.10000000	0.00000000	0.00020609
0.10000000	0.00000000	0.00028027
0.10000000	0.00000000	0.00038113
0.10000000	0.00000001	0.00051829
0.10000000	0.00000002	0.00070479
0.10000000	0.00000004	0.00095840
0.10000000	0.00000010	0.00130323
0.10000000	0.00000026	0.00177208
0.10000000	0.00000068	0.00240949
0.10000000	0.00000179	0.00327600
0.10000000	0.00000476	0.00445377
0.10000000	0.00001269	0.00605433
0.10000000	0.00003379	0.00822890
0.10000000	0.00008939	0.01118233
0.10000000	0.00023343	0.01519175
0.10000000	0.00059707	0.02063131
0.10000000	0.00148289	0.02800487
0.10000000	0.00354028	0.03798856
0.10000000	0.00803185	0.05148528
0.10000000	0.01709005	0.06969281
0.10000000	0.03359956	0.09418577
0.10000000	0.06000890	0.12700841
0.10000000	0.09550598	0.17076925
0.10000000	0.13253008	0.22871750
0.10000000	0.15644758	0.30476469
0.10000000	0.15279740	0.40339249
0.10000000	0.11965705	0.52936573
0.10000000	0.07252702	0.68716232
0.10000000	0.03269999	0.88006846
0.10000000	0.01048796	1.10900028
0.10000000	0.00227592	1.37130906
0.10000000	0.00031588	1.66003533
0.10000000	0.00002633	1.96413013
0.10000000	0.00000123	2.26989307
0.10000000	0.00000003	2.56332399
0.10000000	0.00000000	2.83258347
0.10000000	0.00000000	3.06969371
0.10000000	0.00000000	3.27103882
0.10000000	0.00000000	3.43680211
0.10000000	0.00000000	3.56982850
0.10000000	0.00000000	3.67441095
0.10000000	0.00000000	3.75531030
0.10000000	0.00000000	3.81710905
0.10000000	0.00000000	3.86386573
0.10000000	0.00000000	3.89898525
0.10000000	0.00000000	3.92522008
0.10000000	0.00000000	3.94473795
0.10000000	0.00000000	3.95921452
0.10000000	0.00000000	3.96992768
0.10000000	0.00000000	3.97784255
0.10000000	0.00000000	3.98368284
0.10000000	0.00000000	4.00000000
0.10000000	0.00014424	0.00000000
0.10000000	0.00014431	0.00000000
0.10000000	0.00014440	0.00000000
0.10000000	0.00014449	0.00000000
0.10000000	0.00014460	0.00000000
0.10000000	0.00014471	0.00000000
0.10000000	0.00014484	0.00000000
0.10000000	0.00014498	0.00000000
0.10000000	0.00014514	0.00000000
0.10000000	0.00014531	0.00000000
0.10000000	0.00014551	0.00000000
0.10000000	0.00014572	0.00000001
0.10000000	0.00014596	0.00000001
0.10000000	0.00014622	0.00000001
0.10000000	0.00014651	0.00000001
0.10000000	0.00014684	0.00000002
0.10000000	0.00014720	0.00000003
0.10000000	0.00014759	0.00000004
0.10000000	0.00014804	0.00000005
0.10000000	0.00014853	0.00000007
0.10000000	0.00014907	0.00000009
0.10000000	0.00014967	0.00000013
0.10000000	0.00015034	0.00000018
0.10000000	0.00015108	0.00000024
0.10000000	0.00015190	0.00000032
0.10000000	0.00015282	0.00000044
0.10000000	0.00015383	0.00000060
0.10000000	0.00015495	0.00000081
0.10000000	0.00015621	0.00000111
